English;German;French;Spanish;Italian;Japanese;Korean;Chinese 1;Chinese 2
Marvel Scale;Notschutz;Écaille Spéciale*;Escama Especial*;Pelledura;ふしぎなうろこ;이상한 비늘;神奇鱗片;神奇鳞片
Liquid Ooze;Kloakensoße;Suintement;Lodo Líquido;Melma;ヘドロえき;해감액;污泥漿;污泥浆
Overgrow;Notdünger;Engrais;Espesura;Erbaiuto;しんりょく;심록;茂盛;茂盛
Blaze;Großbrand;Brasier;Mar Llamas;Aiutofuoco;もうか;맹화;猛火;猛火
Torrent;Sturzbach;Torrent;Torrente;Acquaiuto;げきりゅう;급류;激流;激流
Swarm;Hexaplaga;Essaim;Enjambre;Aiutinsetto;むしのしらせ;벌레의 알림;蟲之預感;虫之预感
Rock Head;Steinhaupt;Tête de Roc;Cabeza Roca;Testadura;いしあたま;돌머리;堅硬腦袋;坚硬脑袋
Drought;Dürre;Sécheresse;Sequía;Siccità;ひでり;가뭄;日照;日照
Arena Trap;Ausweglos;Piège Sable*;Trampa Arena;Trappoarena;ありじごく;개미지옥;沙穴;沙穴
Vital Spirit;Munterkeit;Esprit Vital;Espíritu Vital*;Spiritovivo;やるき;의기양양;幹勁;干劲
White Smoke;Pulverrauch;Écran Fumée;Humo Blanco;Fumochiaro;しろいけむり;하얀연기;白色煙霧;白色烟雾
Pure Power;Mentalkraft;Force Pure;Energía pura;Forzapura;ヨガパワー;순수한힘;瑜伽之力;瑜伽之力
Shell Armor;Panzerhaut;Coque Armure;Caparazón;Guscioscudo;シェルアーマー;조가비 갑옷;硬殼盔甲;硬壳盔甲
Cacophony;Energieaufladung;Cacophonie;Cacofonía;Cacofonia;そうおん;--;--;--
Air Lock;Klimaschutz;Air Lock;Bucle Aire;Riparo;エアロック;에어록;氣閘;气闸
Tangled Feet;Fußangel;Pieds Confus;Tumbos;Intricopiedi;ちどりあし;갈지자걸음;蹣跚;蹒跚
Motor Drive;Starthilfe;Motorisé;Electromotor;Elettrorapid;でんきエンジン;전기엔진;電氣引擎;电气引擎
Rivalry;Rivalität;Rivalité;Rivalidad;Antagonismo;とうそうしん;투쟁심;鬥爭心;斗争心
Steadfast;Felsenfest;Impassible;Impasible;Cuordeciso;ふくつのこころ;불굴의 마음;不屈之心;不屈之心
Snow Cloak;Schneemantel;Rideau Neige;Manto Níveo;Mantelneve;ゆきがくれ;눈숨기;雪隱;雪隐
Gluttony;Völlerei;Gloutonnerie;Gula;Voracità;くいしんぼう;먹보;貪吃鬼;贪吃鬼
Anger Point;Kurzschluss;Colérique;Irascible;Grancollera;いかりのつぼ;분노의 경혈;憤怒穴位;愤怒穴位
Unburden;Entlastung;Délestage;Liviano;Agiltecnica;かるわざ;곡예;輕裝;轻装
Heatproof;Hitzeschutz;Ignifugé;Ignífugo;Antifuoco;たいねつ;내열;耐熱;耐热
Simple;Wankelmut;Simple;Simple;Disinvoltura;たんじゅん;단순;單純;单纯
Dry Skin;Trockenheit;Peau Sèche;Piel Seca;Pellearsa;かんそうはだ;건조피부;乾燥皮膚;干燥皮肤
Download;Download;Télécharge;Descarga;Download;ダウンロード;다운로드;下載;下载
Iron Fist;Eisenfaust;Poing de Fer;Puño Férreo;Ferropugno;てつのこぶし;철주먹;鐵拳;铁拳
Poison Heal;Aufheber;Soin Poison;Antídoto;Velencura;ポイズンヒール;포이즌힐;毒療;毒疗
Adaptability;Anpassung;Adaptabilité;Adaptable;Adattabilità;てきおうりょく;적응력;適應力;适应力
Skill Link;Wertelink;Multi-Coups;Encadenado;Abillegame;スキルリンク;스킬링크;連續攻擊;连续攻击
Hydration;Hydration;Hydratation;Hidratación;Idratazione;うるおいボディ;촉촉바디;濕潤之軀;湿润之躯
Solar Power;Solarkraft;Force Soleil;Poder Solar;Solarpotere;サンパワー;선파워;太陽之力;太阳之力
Quick Feet;Rasanz;Pied Véloce;Pies Rápidos;Piedisvelti;はやあし;속보;飛毛腿;飞毛腿
Normalize;Regulierung;Normalise;Normalidad;Normalità;ノーマルスキン;노말스킨;一般皮膚;一般皮肤
Sniper;Superschütze;Sniper;Francotirador*;Cecchino;スナイパー;스나이퍼;狙擊手;狙击手
Magic Guard;Magieschild;Garde Magik;Muro Mágico;Magicscudo;マジックガード;매직가드;魔法防守;魔法防守
No Guard;Schildlos;Annule Garde;Indefenso;Nullodifesa;ノーガード;노가드;無防守;无防守
Stall;Zeitspiel;Frein;Rezagado;Rallentatore;あとだし;시간벌기;慢出;慢出
Technician;Techniker;Technicien;Experto;Tecnico;テクニシャン;테크니션;技術高手;技术高手
Leaf Guard;Floraschild;Feuille Garde*;Defensa Hoja;Fogliamanto;リーフガード;리프가드;葉子防守;叶子防守
Klutz;Tollpatsch;Maladresse;Zoquete;Impaccio;ぶきよう;서투름;笨拙;笨拙
Mold Breaker;Überbrückung;Brise Moule;Rompemoldes;Rompiforma;かたやぶり;틀깨기;破格;破格
Super Luck;Glückspilz;Chanceux;Afortunado;Supersorte;きょううん;대운;超幸運;超幸运
Aftermath;Finalschlag;Boom Final;Resquicio;Scoppio;ゆうばく;유폭;引爆;引爆
Anticipation;Vorahnung;Anticipation;Anticipación;Presagio;きけんよち;위험예지;危險預知;危险预知
Forewarn;Vorwarnung;Prédiction;Alerta;Premonizione;よちむ;예지몽;預知夢;预知梦
Unaware;Unkenntnis;Inconscient;Ignorante;Imprudenza;てんねん;천진;純樸;纯朴
Tinted Lens;Aufwertung;Lentiteintée;Cromolente;Lentifumé;いろめがね;색안경;有色眼鏡;有色眼镜
Filter;Filter;Filtre;Filtro;Filtro;フィルター;필터;過濾;过滤
Slow Start;Saumselig;Début Calme;Inicio Lento;Lentoinizio;スロースタート;슬로스타트;慢啟動;慢启动
Scrappy;Rauflust;Querelleur;Intrépido;Nervisaldi;きもったま;배짱;膽量;胆量
Storm Drain;Sturmsog;Lavabo;Colector;Acquascolo;よびみず;마중물;引水;引水
Ice Body;Eishaut;Corps Gel;Gélido;Corpogelo;アイスボディ;아이스바디;冰凍之軀;冰冻之躯
Solid Rock;Felskern;Solide Roc;Roca Sólida;Solidroccia;ハードロック;하드록;堅硬岩石;坚硬岩石
Snow Warning;Hagelalarm;Alerte Neige;Nevada;Scendineve;ゆきふらし;눈퍼뜨리기;降雪;降雪
Honey Gather;Honigmaul;Cherche Miel;Recogemiel;Mielincetta;みつあつめ;꿀모으기;採蜜;采蜜
Frisk;Schnüffler;Fouille;Cacheo;Indagine;おみとおし;통찰;察覺;察觉
Reckless;Achtlos;Téméraire;Audaz;Temerarietà;すてみ;이판사판;捨身;舍身
Multitype;Variabilität;Multitype;Multitipo;Multitipo;マルチタイプ;멀티타입;多屬性;多属性
Flower Gift;Pflanzengabe;Don Floral;Don Floral;Regalfiore;フラワーギフト;플라워기프트;花之禮;花之礼
Bad Dreams;Alptraum;Mauvais Rêve;Mal Sueño;Sogniamari;ナイトメア;나이트메어;夢魘;梦魇
Pickpocket;Langfinger;Pickpocket;Hurto;Arraffalesto;わるいてぐせ;나쁜손버릇;順手牽羊;顺手牵羊
Sheer Force;Rohe Gewalt;Sans Limite;Potencia Bruta*;Forzabruta;ちからずく;우격다짐;強行;强行
Contrary;Umkehrung;Contestation;Respondón;Inversione;あまのじゃく;심술꾸러기;唱反調;唱反调
Unnerve;Anspannung;Tension;Nerviosismo;Agitazione;きんちょうかん;긴장감;緊張感;紧张感
Defiant;Siegeswille;Acharné;Competitivo;Agonismo;まけんき;오기;不服輸;不服输
Defeatist;Schwächling;Défaitiste;Flaqueza;Sconforto;よわき;무기력;軟弱;软弱
Cursed Body;Tastfluch;Corps Maudit;Cuerpo Maldito*;Corpofunesto;のろわれボディ;저주받은바디;詛咒之軀;诅咒之躯
Healer;Heilherz;Cœur Soin;Alma Cura;Curacuore;いやしのこころ;치유의마음;治癒之心;治愈之心
Friend Guard;Freundeshut;Garde Amie;Compiescolta;Amicoscudo;フレンドガード;프렌드가드;友情防守;友情防守
Weak Armor;Bruchrüstung;Armurouillée;Armadura Frágil*;Sottilguscio;くだけるよろい;깨어진갑옷;碎裂鎧甲;碎裂铠甲
Heavy Metal;Schwermetall;Heavy Metal;Metal Pesado*;Metalpesante;ヘヴィメタル;헤비메탈;重金屬;重金属
Light Metal;Leichtmetall;Light Metal;Metal Liviano*;Metalleggero;ライトメタル;라이트메탈;輕金屬;轻金属
Multiscale;Multischuppe;Multiécaille;Compensación;Multisquame;マルチスケイル;멀티스케일;多重鱗片;多重鳞片
Toxic Boost;Giftwahn;Rage Poison;Ímpetu Tóxico*;Velenimpeto;どくぼうそう;독폭주;中毒激升;中毒激升
Flare Boost;Hitzewahn;Rage Brûlure;Ímpetu Ardiente*;Bruciaimpeto;ねつぼうそう;열폭주;受熱激升;受热激升
Harvest;Reiche Ernte;Récolte;Cosecha;Coglibacche;しゅうかく;수확;收穫;收获
Telepathy;Telepathie;Télépathe;Telepatía;Telepatia;テレパシー;텔레파시;心靈感應;心灵感应
Moody;Gefühlswippe;Lunatique;Veleta;Altalena;ムラっけ;변덕쟁이;心情不定;心情不定
Overcoat;Partikelschutz;Envelocape;Funda;Copricapo;ぼうじん;방진;防塵;防尘
Poison Touch;Giftgriff;Toxitouche;Toque Tóxico;Velentocco;どくしゅ;독수;毒手;毒手
Regenerator;Belebekraft;Régé-Force;Regeneración;Rigenergia;さいせいりょく;재생력;再生力;再生力
Big Pecks;Brustbieter;Cœur de Coq;Sacapecho;Pettinfuori;はとむね;부풀린가슴;健壯胸肌;健壮胸肌
Sand Rush;Sandscharrer;Baigne Sable;Ímpetu Arena;Remasabbia;すなかき;모래헤치기;撥沙;拨沙
Wonder Skin;Wunderhaut;Peau Miracle;Piel Milagro;Splendicute;ミラクルスキン;미라클스킨;奇跡皮膚;奇迹皮肤
Analytic;Analyse;Analyste;Cálculo Final*;Ponderazione;アナライズ;애널라이즈;分析;分析
Illusion;Trugbild;Illusion;Ilusión;Illusione;イリュージョン;일루전;幻覺;幻觉
Imposter;Doppelgänger;Imposteur;Impostor;Sosia;かわりもの;괴짜;變身者;变身者
Infiltrator;Schwebedurch;Infiltration;Allanamiento;Intrapasso;すりぬけ;틈새포착;穿透;穿透
Mummy;Mumie;Momie;Momia;Mummia;ミイラ;미라;木乃伊;木乃伊
Moxie;Hochmut;Impudence;Autoestima;Arroganza;じしんかじょう;자기과신;自信過度;自信过度
Justified;Redlichkeit;Cœur Noble;Justiciero;Giustizia;せいぎのこころ;정의의마음;正義之心;正义之心
Rattled;Hasenfuß;Phobique;Cobardía;Paura;びびり;주눅;膽怯;胆怯
Magic Bounce;Magiespiegel;Miroir Magik;Espejo Mágico*;Magispecchio;マジックミラー;매직미러;魔法鏡;魔法镜
Sap Sipper;Vegetarier;Herbivore;Herbívoro;Mangiaerba;そうしょく;초식;食草;食草
Prankster;Strolch;Farceur;Bromista;Burla;いたずらごころ;짓궂은마음;惡作劇之心;恶作剧之心
Sand Force;Sandgewalt;Force Sable;Poder Arena;Silicoforza;すなのちから;모래의힘;沙之力;沙之力
Iron Barbs;Eisenstachel;Épine de Fer;Punta Acero;Spineferrate;てつのトゲ;철가시;鐵刺;铁刺
Zen Mode;Trance-Modus;Mode Transe;Modo Daruma;Stato Zen;ダルマモード;달마모드;達摩模式;达摩模式
Victory Star;Triumphstern;Victorieux;Tinovictoria;Vittorstella;しょうりのほし;승리의별;勝利之星;胜利之星
Turboblaze;Turbobrand;TurboBrasier;Turbollama;Piroturbina;ターボブレイズ;터보블레이즈;渦輪火焰;涡轮火焰
Teravolt;Teravolt;Téra-Voltage;Terravoltaje;Teravolt;テラボルテージ;테라볼티지;兆級電壓;兆级电压
Aroma Veil;Dufthülle;Aroma-Voile;Velo Aroma;Aromavelo;アロマベール;아로마베일;芳香幕;芳香幕
Flower Veil;Blütenhülle;Flora-Voile;Velo Flor;Fiorvelo;フラワーベール;플라워베일;花幕;花幕
Cheek Pouch;Backentaschen;Bajoues;Carrillo;Guancegonfie;ほおぶくろ;볼주머니;頰囊;颊囊
Protean;Wandlungskunst;Protéen;Mutatipo;Mutatipo;へんげんじざい;변환자재;變幻自如;变幻自如
Fur Coat;Fellkleid;Toison Épaisse;Pelaje Recio;Foltopelo;ファーコート;퍼코트;毛皮大衣;毛皮大衣
Magician;Zauberer;Magicien;Prestidigitador;Prestigiatore;マジシャン;매지션;魔術師;魔术师
Bulletproof;Kugelsicher;Pare-Balles;Antibalas;Antiproiettile;ぼうだん;방탄;防彈;防弹
Competitive;Unbeugsamkeit;Battant;Tenacidad;Tenacia;かちき;승기;好勝;好胜
Strong Jaw;Titankiefer;Prognathe;Mandíbula Fuerte;Ferromascella;がんじょうあご;옹골찬턱;強壯之顎;强壮之颚
Refrigerate;Frostschicht;Peau Gelée;Piel Helada;Pellegelo;フリーズスキン;프리즈스킨;冰凍皮膚;冰冻皮肤
Sweet Veil;Zuckerhülle;Gluco-Voile;Velo Dulce;Dolcevelo;スイートベール;스위트베일;甜幕;甜幕
Stance Change;Taktikwechsel;Déclic Tactique;Cambio Táctico;Accendilotta;バトルスイッチ;배틀스위치;戰鬥切換;战斗切换
Gale Wings;Orkanschwingen;Ailes Bourrasque;Alas Vendaval;Aliraffica;はやてのつばさ;질풍날개;疾風之翼;疾风之翼
Mega Launcher;Megawumme;Méga Blaster;Megadisparador;Megalancio;メガランチャー;메가런처;超級發射器;超级发射器
Grass Pelt;Pflanzenpelz;Toison Herbue;Manto Frondoso;Peloderba;くさのけがわ;풀모피;草之毛皮;草之毛皮
Symbiosis;Nutznießer;Symbiose;Simbiosis;Simbiosi;きょうせい;공생;共生;共生
Tough Claws;Krallenwucht;Griffe Dure;Garra Dura;Unghiedure;かたいツメ;단단한 발톱;硬爪;硬爪
Pixilate;Feenschicht;Peau Féérique;Piel Feérica;Pellefolletto;フェアリースキン;페어리스킨;妖精皮膚;妖精皮肤
Gooey;Viskosität;Poisseux;Baba;Viscosità;ぬめぬめ;미끈미끈;黏滑;黏滑
Aerilate;Zenithaut;Peau Céleste;Piel Celeste;Pellecielo;スカイスキン;스카이스킨;飛行皮膚;飞行皮肤
Parental Bond;Familienbande;Amour Filial;Amor Filial;Amorefiliale;おやこあい;부자유친;親子愛;亲子爱
Dark Aura;Dunkelaura;Aura Ténébreuse;Aura Oscura;Auratetra;ダークオーラ;다크오라;暗黑氣場;暗黑气场
Fairy Aura;Feenaura;Aura Féérique;Aura Feérica;Aurafolletto;フェアリーオーラ;페어리오라;妖精氣場;妖精气场
Aura Break;Aura-Umkehr;Aura Inversée;Rompeaura;Frangiaura;オーラブレイク;오라브레이크;氣場破壞;气场破坏
Primordial Sea;Urmeer;Mer Primaire;Mar del Albor;Mare Primordiale;はじまりのうみ;시작의바다;始源之海;始源之海
Desolate Land;Endland;Terre Finale;Tierra del Ocaso;Terra Estrema;おわりのだいち;끝의대지;終結之地;终结之地
Delta Stream;Delta-Wind;Souffle Delta;Ráfaga Delta;Flusso Delta;デルタストリーム;델타스트림;德爾塔氣流;德尔塔气流
Stamina;Zähigkeit;Endurance;Firmeza;Sopportazione;じきゅうりょく;지구력;持久力;持久力
Wimp Out;Reißaus;Escampette;Huida;Fuggifuggi;にげごし;도망태세;躍躍欲逃;跃跃欲逃
Emergency Exit;Rückzug;Repli Tactique;Retirada;Passoindietro;ききかいひ;위기회피;危險迴避;危险回避
Water Compaction;Verklumpen;Sable Humide;Hidrorrefuerzo;Idrorinforzo;みずがため;꾸덕꾸덕굳기;遇水凝固;遇水凝固
Merciless;Quälerei;Cruauté;Ensañamiento;Spietatezza;ひとでなし;무도한행동;不仁不義;不仁不义
Shields Down;Limitschild;Bouclier-Carcan;Escudo Limitado;Scudosoglia;リミットシールド;리밋실드;界限盾殼;界限盾壳
Stakeout;Beschattung;Filature;Vigilante;Sorveglianza;はりこみ;잠복;"監視*蹲守*";"監視*蹲守*"
Water Bubble;Wasserblase;Aquabulle;Pompa;Bolladacqua;すいほう;수포;水泡;水泡
Steelworker;Stahlprofi;Expert Acier;Acero Templado;Tempracciaio;はがねつかい;강철술사;鋼能力者;钢能力者
Berserk;Wutausbruch;Dracolère;Cólera;Furore;ぎゃくじょう;발끈;怒火沖天;怒火冲天
Slush Rush;Schneescharrer;Chasse-Neige;Quitanieves;Spalaneve;ゆきかき;눈치우기;撥雪;拨雪
Long Reach;Langstrecke;Longue Portée;Remoto;Distacco;えんかく;원격;遠隔;远隔
Liquid Voice;Plätscherstimme;Hydrata-Son;Voz Fluida;Idrovoce;うるおいボイス;촉촉보이스;濕潤之聲;湿润之声
Triage;Heilwandel;Prioguérison;Primer Auxilio;Primacura;ヒーリングシフト;힐링시프트;先行治療;先行治疗
Galvanize;Elektrohaut;Peau Électrique;Piel Eléctrica;Pellelettro;エレキスキン;일렉트릭스킨;電氣皮膚;电气皮肤
Surge Surfer;Surf-Schweif;Surf Caudal;Cola Surf;Codasurf;サーフテール;서핑테일;衝浪之尾;冲浪之尾
Schooling;Fischschwarm;Banc;Banco;Banco;ぎょぐん;어군;魚群;鱼群
Disguise;Kostümspuk;Fantômasque;Disfraz;Fantasmanto;ばけのかわ;탈;畫皮;画皮
Battle Bond;Freundschaftsakt;Synergie;Fuerte Afecto;Morfosintonia;きずなへんげ;유대변화;牽絆變身;牵绊变身
Power Construct;Scharwandel;Rassemblement;Agrupamiento;Sciamefusione;スワームチェンジ;스웜체인지;群聚變形;群聚变形
Corrosion;Korrosion;Corrosion;Corrosión;Corrosione;ふしょく;부식;腐蝕;腐蚀
Comatose;Dauerschlaf;Hypersommeil;Letargo Perenne;Sonno Assoluto;ぜったいねむり;절대안깸;絕對睡眠;绝对睡眠
Queenly Majesty;Majestät;Prestance Royale;Regia Presencia;Regalità;じょおうのいげん;여왕의위엄;女王的威嚴;女王的威严
Innards Out;Magenkrempler;Expuls'Organes;Revés;Espellinterno;とびだすなかみ;내용물분출;飛出的內在物;飞出的内在物
Dancer;Tänzer;Danseuse;Pareja de Baile;Sincrodanza;おどりこ;무희;舞者;舞者
Battery;Batterie;Batterie;Batería;Batteria;バッテリー;배터리;蓄電池;蓄电池
Fluffy;Flauschigkeit;Boule de Poils;Peluche;Morbidone;もふもふ;복슬복슬;毛茸茸;毛茸茸
Dazzling;Buntkörper;Corps Coloré;Cuerpo Vívido;Corposgargiante;ビビッドボディ;비비드바디;鮮艷之軀;鲜艳之躯
Soul-Heart;Seelenherz;Animacœur;Coránima;Cuoreanima;ソウルハート;소울하트;魂心;魂心
Tangling Hair;Lockenkopf;Mèche Rebelle;Rizos Rebeldes;Boccolidoro;カーリーヘアー;컬리헤어;捲髮;卷发
Receiver;Receiver;Receveur;Receptor;Ricezione;レシーバー;리시버;接球手;接球手
Power of Alchemy;Chemiekraft;Osmose;Reacción Química;Forza Chimica;かがくのちから;과학의힘;化學之力;化学之力
Beast Boost;Bestien-Boost;Boost Chimère;Ultraimpulso;Ultraboost;ビーストブースト;비스트부스트;異獸提升;异兽提升
RKS System;Alpha-System;Système Alpha;Sistema Alfa;Sistema Primevo;ＡＲシステム;AR시스템;ＡＲ系統;ＡＲ系统
Electric Surge;Elektro-Erzeuger;Créa-Élec;Electrogénesis;Elettrogenesi;エレキメイカー;일렉트릭메이커;電氣製造者;电气制造者
Psychic Surge;Psycho-Erzeuger;Créa-Psy;Psicogénesis;Psicogenesi;サイコメイカー;사이코메이커;精神製造者;精神制造者
Misty Surge;Nebel-Erzeuger;Créa-Brume;Nebulogénesis;Nebbiogenesi;ミストメイカー;미스트메이커;薄霧製造者;薄雾制造者
Grassy Surge;Gras-Erzeuger;Créa-Herbe;Herbogénesis;Erbogenesi;グラスメイカー;그래스메이커;青草製造者;青草制造者
Full Metal Body;Metallprotektor;Métallo-Garde;Guardia Metálica;Metalprotezione;メタルプロテクト;메탈프로텍트;金屬防護;金属防护
Shadow Shield;Phantomschutz;Spectro-Bouclier;Guardia Espectro;Spettroguardia;ファントムガード;스펙터가드;幻影防守;幻影防守
Prism Armor;Prismarüstung;Prisme-Armure;Armadura Prisma;Scudoprisma;プリズムアーマー;프리즘아머;稜鏡裝甲;棱镜装甲
Neuroforce;Zerebralmacht;Cérébro-Force;Fuerza Cerebral;Cerebroforza;ブレインフォース;브레인포스;腦核之力;脑核之力
Intrepid Sword;Kühnes Schwert;Lame Indomptable;Espada Indómita;Spada Indomita;ふとうのけん;불요의검;不撓之劍;不挠之剑
Dauntless Shield;Wackerer Schild;Égide Inflexible;Escudo Recio;Scudo Saldo;ふくつのたて;불굴의방패;不屈之盾;不屈之盾
Libero;Libero;Libéro;Líbero;Libero;リベロ;리베로;自由者;自由者
Ball Fetch;Apport;Ramasse Ball;Recogebolas;Raccattapalle;たまひろい;볼줍기;撿球;捡球
Cotton Down;Wollflaum;Effilochage;Pelusa;Lanugine;わたげ;솜털;棉絮;棉絮
Propeller Tail;Schraubflosse;Propulseur;Hélice Caudal;Elicopinna;スクリューおびれ;스크루지느러미;螺旋尾鰭;螺旋尾鳍
Mirror Armor;Spiegelrüstung;Armure Miroir;Coraza Reflejo;Blindospecchio;ミラーアーマー;미러아머;鏡甲;镜甲
